oem,hr,fk,offset
0 XX 40431.090,HR 140431,64004,2928210
0-2223-074,HR 7325,43267,2940162
0-2223-075,HR 7322,42755,2940201
0-2223-076,HR 7323,43267,2940240
0-2223-077,HR 7324,43779,2940279
0-2223-078,HR 7326,44547,2940318
0-2223-081,HR 7327,43267,2940357
0-2223-083,HR 7323,42755,2940396
0-2223-091,HR 8066,43779,2940435
0.001,HR 2460,42242,2928255
0.002,HR 2169,44034,2928289
0.003,HR 5163,43522,2928323
0.004,HR 2450,42754,2928357
0.005,HR 2461,43522,2928391
0.007,HR 1621,43266,2928425
0.009,HR 2053,43778,2928459
0.01,HR 6024,29954,2928493
0.010,HR 1177,43266,2928526
0.0105,HR 6004,55298,2928560
0.0107,HR 7097,59138,2928595
0.013,HR 2080/15,15107,2931765
0.014,HR 1153,42754,2931802
0.015,HR 3522,43522,2931836
0.016,HR 3509,45058,2931870
0.017,HR 2151,43266,2931904
0.018,HR 2080/10,15107,2931938
0.019,HR 2041,43266,2931975
0.020,HR 2114,41474,2932009
0.022,HR 1120,40962,2932043
0.023,HR 2045,43010,2932077
0.024,HR 2121,41986,2932111
0.026,HR 2063/00,14851,2932145
0.027,HR 3601,43778,2932182
0.029,HR 3583,46594,2932216
0.031,HR 3504,43010,2932250
0.032,HR 1123,41986,2932284
0.034,HR 3120,42242,2932318
0.036,HR 3507,45058,2932352
0.037,HR 3520,44034,2932386
0.039,HR 3612,45058,2932420
0.040,HR 51/01,53762,2932454
0.042,HR 2063/03,15107,2932489
0.048,HR 3511,44546,2932526
0.052,HR 2141,42754,2932560
0.057,HR 2080/20,16131,2932594
0.059,HR 5505,46338,2932631
0.060,HR 2080/00,14083,2932665
0.062,HR 1160,43010,2932702
0.063,HR 3578,47106,2933789
0.064,HR 5126,45058,2933823
0.067,HR 3602,45058,2933857
0.070,HR 5157,45314,2933891
0.071,HR 2161,43522,2933925
0.073,HR 1165,44802,2933959
0.074,HR 2013,43266,2933993
0.075,HR 1117,44546,2934027
0.076,HR 2031/22,15875,2934061
0.077,HR 3505,45826,2934098
0.079,HR 3604,46338,2934132
0.081,HR 2051,43266,2934166
0.082,HR 2082,44546,2934200
0.083,HR 1161,44034,2934234
0.085,HR 3503,45058,2934268
0.087,HR 3690,47362,2934302
0.088,HR 1197,47618,2934336
0.090,HR 2063/02,15619,2934370
0.091,HR 2050,43266,2934407
0.093,HR 3501,44290,2934441
0.094,HR 3611,45058,2934475
0.097,HR 3610,45570,2934509
0.101,HR 2011,40450,2934543
0.102,HR 2014,41474,2934577
0.106,HR 2017,43266,2934611
0.109,HR 1100,41986,2934645
0.110,HR 2080/06,14595,2934679
0.116,HR 3505,44290,2934716
0.122,HR 2115,42498,2934750
0.125,HR 2143,43522,2936861
0.127,HR 5525,45826,2936895
0.132,HR 2171,43266,2936929
0.133,HR 2459,45826,2936963
0.134,HR 2110,41986,2936997
0.137,HR 2445,45570,2937031
0.138,HR 3202,43778,2937065
0.139,HR 3682,47106,2937099
0.140,HR 2181,43266,2937133
0.141,HR 3508,44546,2937167
0.144,HR 3519,45826,2937201
0.145,HR 3534,45314,2937235
0.146,HR 2152,44290,2937269
0.148,HR 3530,45058,2937303
0.149,HR 3512,45314,2937337
0.151,HR 2458,45570,2937371
0.155,HR 3515,45314,2937405
0.159,HR 2070,45058,2937439
0.160,HR 1121,41986,2937473
0.162,HR 3502,43778,2937507
0.164,HR 2175,45570,2937541
0.165,HR 1152,44290,2937575
0.166,HR 3658,47874,2937609
0.169,HR 1101,43778,2937643
0.172,HR 1150,43266,2937677
0.173,HR 3613,45058,2937711
0.174,HR 1162,44546,2937745
0.175,HR 1122,43778,2937779
0.183,HR 3518,46338,2937813
0.186,HR 7020,45058,2939958
0.192,HR 3516,45826,2939992
0.202,HR 3535,44034,2940026
0.205,HR 1629,45314,2940060
0.216,HR 6310,43778,2940094
0.277,HR 3652,47106,2940128
00 218,HR 2110,51458,2946747
00 595 43,HR 7871,27395,2946782
00 604 55,HR 7731,24579,2946820
00 616 46,HR 6498,27651,2946858
00 619 16,HR 7344,25347,2946896
00 619 6,HR 7344,12803,2946934
00 656 92,HR 7140,25091,2946971
00 707 25,HR 7834,25859,2947009
00 D-3-508-001,HR 7453,26884,2940516
00 D-3-508-002,HR 7453,27140,2940559
00 D-3-508-003,HR 7478,29188,2940602
00 D-3-508-003 PL1,HR 7478,24325,2940645
00 D-3-515-001 PL1,HR 7478,23301,2940692
00 D-4-198-001,HR 6276,28932,2940739
00 D-4-198-003,HR 6071,27652,2940782
00 D-4-208-001,HR 6128,25860,2940825
00 D-4-208-002,HR 6128,26116,2940868
00 D-4-235-002 01G,HR 7165,12293,2943078
00 D-4-235-002 01G1,HR 7165,24837,2943125
00 D-4-235-002 HT1,HR 7165,21765,2943031
00 D-4-247-001,HR 7151,25860,2943173
00 D-4-247-001 HT1,HR 7151,20997,2943216
00 D-4-260-004 HT1,HR 7453,21765,2943263
00 H 07010500,HR 5544,12548,2943310
00 H 07012400,HR 6067,13060,2943352
00 H 07012500,HR 7361,12804,2943394
00 H 07012700,HR 6182,13316,2943436
00 H 07012800,HR 6182,13572,2943478
00 H 07012900,HR 6157,14340,2943520
00 H 07013100,HR 6032,10500,2943562
00 H 07013500,HR 6159,14084,2943604
00 H 07013600,HR 6175,13828,2943646
00 H 07014500,HR 5805,13572,2943688
00 H 07014600,HR 5807,14340,2943730
00 H 07015000,HR 5803,12036,2943772
00 H 07015600,HR 2064,12548,2943814
00 H 07015700,HR 5804,14084,2943856
00 H 07015800,HR 5802,13828,2943898
00 H 07016200,HR 6160,12036,2943940
00 H 07018100,HR 7208,13316,2946101
00 H 07018200,HR 5544,13828,2946143
00 H 07018300,HR 7359,15620,2946185
00 H 07018900,HR 7228,15876,2946227
00 H 07019200,HR 5802,13316,2946269
00 H-0-701-2400,HR 6067,39428,2946311
00 H-0-701-3100,HR 6032,36868,2946355
00 H-0-701-3500,HR 6159,40452,2946399
00 H-0-701-3600,HR 6175,40196,2946443
00 H-0-701-5600,HR 2064,38916,2946487
00 H-0-701-7200,HR 7713,39940,2946531
00 H-0-701-8900,HR 7228,42244,2946575
00 J 02051900,HRT 209,21508,2946619
00 J-2-051-900,HRT 209,35588,2946661
00 X-6-714-001,HR 7453,32516,2946704
000 003 013,HR 3013,43011,2950899
000 003 016,HR 3016,44547,2950939
000 003 044,HR 3044,45059,2950979
000 003 054,HR 3054,45571,2951019
000 003 085,HR 3085,47619,2951059
000 003 125,HR 3125,45059,2951099
000 18124,HR 8899,31747,2951139
000 18169,HR 80060,41219,2953253
000 697 789,HR 6132,54275,2953292
000 697 801,HR 6115,50691,2953332
000 75231,HR 8988,32003,2953372
000 TX 3125,HR 3125,64515,2950859
0000.0100,HR 6024,25859,2953448
0000.0101,HR 6035,26627,2953486
0000.0103,HR 6036,27395,2953524
0000.0105,HR 6004,26627,2953562
0000.0106,HR 6020,26371,2953600
0000.0107,HR 7097,30467,2953638
0000.0108,HR 7006,28163,2953676
0000.0109,HR 6195,30467,2953714
0000.0123,HR 6024,27139,2953752
00000100,HR 6024,14083,2953790
00000101,HR 6035,14851,2953827
00000103,HR 6036,15619,2953864
00000105,HR 6004,14851,2953901
00000106,HR 6020,14595,2953938
00000107,HR 7097,18691,2953975
00000108,HR 7006,16387,2954012
00000109,HR 6195,18691,2954049
00000123,HR 6024,15363,2954086
000003013,HR 3013,26627,2954123
000003016,HR 3016,28163,2954161
000003044,HR 3044,28675,2954199
000003085,HR 3085,31235,2956352
000003125,HR 3125,28675,2956390
00002971000,HR 6657,58627,2956428
00007500561,HR I06L20021,517,2956468
00008108,HR 80143,31491,2956513
00008134,HR 8118,19459,2956551
00008134000,HR 8118,56323,2956588
0000872,HR 7442,7171,2956628
0001,HR 2460,30466,2956664
00018124,HR 8899,23555,2956697
00018169,HR 80060,33027,2956734
0002,HR 2169,32258,2956772
00020306,HR 8800,17667,2956805
00021331,HR 80077,31235,2956842
0003,HR 5163,31746,2956880
0004,HR 2450,30978,2956913
0005,HR 2461,31746,2956946
000697789,HR 6132,37891,2956979
000697801,HR 6115,34307,2957017
0007,HR 1621,31490,2957055
00075231,HR 8988,23811,2957088
00088711283,HR 6005,60163,2957125
0009,HR 2053,32002,2957165
000TX3125,HR 3125,48131,2953410
001,HR 6024,18178,2957198
001 150 09,HRT 227 BP,23300,2957230
001 280 7,HR 6468,25603,2957272
001 899 4,HR 7398,7168,2958363
001-214001-04,HR 7457,14340,2958401
001-214002-05,HR 7457,14852,2958443
001-214190-10,HR 8605,14852,2958485
001-214192-10,HR 8517,15876,2958527
001-214211-10,HR 8538,14596,2958569
001-214314-14,HR 8605,15364,2958611
001-214701-13,HR 7470,14852,2958653
001-220002-04,HR 7900,12036,2958695
001-220027-02,HR 7438,14852,2958737
001-220027-07,HR 7438,16132,2958779
001-220027-27,HR 7438,16644,2958821
001-220104-16,HR 8123,13060,2958863
001-220216-16,HR 8123,14084,2958905
001-220402-13,HR 7729,15364,2958947
001-220402-19,HR 7729,16900,2958989
001-220501-10,HR 7432,12292,2959031
001-220502-10,HR 7432,12548,2959073
001-228026-10,HR 8921,15876,2959115
001-228079-05,HR 8921,18948,2959157
001-229084-13,HR 80118,29700,2959199
001-229901-05,HR 8921,17668,2959242
001-229911-05,HR 8973,19716,2959284
001-234151-10,HR 80081,26372,2959326
001-234279-05,HR 80081,30212,2961445
001-299901-05,HR 7960,19972,2961488
001-330003-94,HR 7503,14852,2961530
0010,HR 1177,31490,2961572
0010087,HR 7839,9475,2961605
0010122,HR 7484,5891,2961641
00105,HR 6004,43522,2961677
00107,HR 7097,47362,2961711
00115009,HRT 227 BP,6916,2961745
0012,HR 2440,30466,2961785
00121400104,HR 7457,56835,2961818
00121400205,HR 7457,57347,2961858
00121419010,HR 8605,57347,2961898
00121419210,HR 8517,58371,2961938
00121421110,HR 8538,57091,2961978
00121431414,HR 8605,57859,2962018
00121470113,HR 7470,57347,2962058
00122000403,HR 7900,54787,2962098
00122002702,HR 7438,57347,2962138
00122002707,HR 7438,58627,2962178
00122002727,HR 7438,59139,2962218
00122010416,HR 8123,55555,2962258
00122021616,HR 8123,56579,2962298
00122040213,HR 7729,57859,2962338
00122040219,HR 7729,59395,2962378
00122050210,HR 7432,55043,2965559
00122802610,HR 8921,58371,2965599
00122807905,HR 8921,61443,2965639
00122908413,HR 80118,6660,2965679
00122991105,HR 8973,62211,2965720
00123415110,HR 80081,3332,2965760
00123427905,HR 80081,7172,2965801
0012807,HR 6468,9219,2965842
00129990105,HR 7960,62467,2965878
0013,HR 2080/15,3331,2965918
00133000394,HR 7503,57347,2965954
0014,HR 1153,30978,2965994
00140957,HR 9828,24323,2966027
0015,HR 3522,31746,2966064
0016,HR 3509,33282,2966097
00162331,HR 9828,21763,2966130
0017,HR 2151,31490,2966167
0018,HR 2080/10,3331,2966200
0018994,HR 7398,13315,2966236
0019,HR 2041,31490,2966272
002 241 8,HR 7452,23811,2966305
002 651 0146,HR 6396,64259,2966343
002 651 0185,HR 7050,61955,2966384
002 651 0264,HR 6376,64003,2966425
002 651 0314,HR 6610,60675,2966466
002 651 0337,HR 8050,61955,2968625
002 651 0367,HR 7812,64003,2968666
002 651 0389,HR 7847,1540,2968707
002 651 0395,HR 7753,65283,2968748
002 651 0401,HR 7761,61955,2968789
002 651 0426,HR 7756,64771,2968830
002 651 0449,HR 7846,516,2968871
002 651 0456,HR 7760,64259,2968912
002 651 0461,HR 7626,63491,2968953
002 651 0481,HR 7851,64003,2968994
002 651 0484,HR 7759,1028,2969035
002 651 0498,HR 7861,772,2969076
002 651 0500,HR 7855,62979,2969117
002 651 0501,HR 7807,62467,2969158
002 651 0523,HR 7748,64515,2969199
002 651 0526,HR 7773,64771,2969240
002 651 0533,HR 7763,64003,2969281
002 651 0571,HR 7675,65027,2969322
002 651 0599,HR 7732,516,2969363
002 651 0647,HR 8217,64259,2969404
002 651 10571,HR 7675,12036,2969445
002 775 5,HR 7520,25091,2969487
0020,HR 2114,29698,2969525
002010210,HR 9663,30723,2969558
002010221,HR 9616,30723,2971711
002020401,HR 9543,30723,2971749
002020403,HR 9544,31491,2971787
002020514,HR 9544,32259,2971825
002020521,HR 9885,33795,2971863
002020522,HR 9883,33539,2971901
002020523,HR 9880,33027,2971939
002030202,HR 9544,30979,2971977
002030205,HR 9544,31747,2972015
002040401,HR 9888,34307,2972053
002040408,HR 9893,35075,2972091
002040409,HR 9544,33539,2972129
002040413,HR 9892,33795,2972167
002040415,HR 9898,35843,2972205
002050101,HR 9543,30723,2972243
002050103,HR 9544,31491,2972281
002090101,HR 9555,32515,2972319
002090103,HR 9805,32515,2972357
002090104,HR 9805,32771,2972395
002090208,HR 9881,35075,2972433
00218,HR 2110,43266,2972471
002190103,HR 9555,33283,2972505
002190104,HR 9544,33027,2972543
002190105,HR 9555,33795,2972581
002190106,HR 9544,33539,2972619
002190112,HR 9567,34051,2974772
002190118,HR 9828,35587,2974810
002190120,HR 9890,33539,2974848
002190122,HR 9880,33795,2974886
002190123,HR 9890,34307,2974924
002190128,HR 9880,35331,2974962
002190130,HR 9828,34051,2975000
002190135,HR 9885,36099,2975038
002190136,HR 9544,34307,2975076
002190137,HR 9888,37379,2975114
002190138,HR 9881,35843,2975152
002190154,HR 9881,35331,2975190
002190159,HR 9881,36611,2975228
002190160,HR 9888,36355,2975266
002190165,HR 9896,37379,2975304
0022,HR 1120,29186,2975342
002220101,HR 9104,28675,2975375
002220103,HR 9879,34051,2975413
002220204,HR 9887,34307,2975451
002220206,HR 9886,34563,2975489
002220210,HR 9886,33283,2975527
002220212,HR 9879,34307,2975565
002220215,HR 9894,34307,2975603
0022418,HR 7452,7427,2975641
002270106,HR 9894,35331,2975677
0023,HR 2045,31234,2975715
0024,HR 2121,30210,2976805
0026,HR 2063/00,3075,2976838
0026510146,HR 6396,47875,2976874
0026510185,HR 7050,45571,2976913
0026510264,HR 6376,47619,2976952
0026510314,HR 6610,44291,2976991
0026510325,HR 6377,47363,2977030
0026510337,HR 8050,45571,2977069
0026510367,HR 7812,47619,2977108
0026510389,HR 7847,50691,2977147
0026510395,HR 7753,48899,2977186
0026510401,HR 7761,45571,2977225
0026510426,HR 7756,48387,2977264
0026510449,HR 7846,49667,2977303
0026510456,HR 7760,47875,2977342
0026510461,HR 7626,47107,2977381
0026510481,HR 7851,47619,2977420
0026510484,HR 7759,50179,2977459
0026510498,HR 7861,49923,2977498
0026510500,HR 7855,46595,2977537
0026510501,HR 7807,46083,2977576
0026510523,HR 7748,48131,2977615
0026510526,HR 7773,48387,2977654
0026510533,HR 7763,47619,2977693
0026510571,HR 7675,48643,2977732
0026510599,HR 7732,49667,2979877
0026510647,HR 8217,47875,2979916
00265110571,HR 7675,61187,2979955
0027,HR 3601,32002,2979995
0027755,HR 7520,8707,2980028
0029,HR 3583,34818,2980064
003 039 5,HR 7353,24579,2980097
003 101 102,HR 7647,1796,2980135
003 169 2,HR 6170,23811,2980176
003006006,HR 6060,29955,2980214
003011019,HR 7578,33795,2980252
003011101,HR 6300,27139,2980290
003011102,HR 6302,27907,2980328
003011110,HR 6304,28163,2980366
003011111,HR 6301,27651,2980404
003011112,HR 6301,27907,2980442
003011113,HR 6303,28675,2980480
003021001,HR 7787,32259,2980518
003021002,HR 8078,30979,2980556
003021003,HR 6385,30979,2980594
003021004,HR 7004,28419,2980632
003021005,HR 7140,28931,2980670
003021007,HR 7207,30467,2980708
003021101,HR 7239,30467,2980746
003021103,HR 6178,31235,2980784
003021106,HR 6310,28931,2980822
003021109,HR 7140,30211,2982975
003021111,HR 7263,29955,2983013
003021112,HR 7018,29699,2983051
003021114,HR 7037,30467,2983089
003021115,HR 7386,32515,2983127
003031001,HR 7065,29699,2983165
003031002,HR 7032,28419,2983203
003031003,HR 7126,29699,2983241
003031004,HR 7127,30211,2983279
003031005,HR 7242,29955,2983317
003031006,HR 7217,30723,2983355
003031008,HR 7094,32003,2983393
003031009,HR 7105,30467,2983431
003031010,HR 8080,29187,2983469
003031011,HR 7175,30467,2983507
003031012,HR 7135,29699,2983545
003031013,HR 7112,28675,2983583
003031101,HR 7026,29187,2983621
003031102,HR 7047,30211,2983659
003031103,HR 7668,32771,2983697
003031104,HR 8185,31747,2983735
003031105,HR 7040,29187,2983773
003031106,HR 7127,30979,2983811
003031107,HR 7128,31491,2983849
003031108,HR 7145,31491,2983887
003031110,HR 7203,28419,2986040
003031111,HR 7114,28931,2986078
003031112,HR 7113,28931,2986116
003031119,HR 7179,53507,2986154
003031120,HR 7196,31491,2986193
0030395,HR 7353,8195,2986231
003040001,HR 6009,28931,2986267
003040002,HR 6412,28675,2986305
003040102,HR 6170,29187,2986343
003040104,HR 6120,28419,2986381
003040105,HR 7537,32003,2986419
003040106,HR 6067,31491,2986457
003041001,HR 6465,30723,2986495
003041002,HR 6119,29955,2986533
003041003,HR 6200,27907,2986571
003041004,HR 6169,31747,2986609
003041005,HR 6043,29699,2986647
003041101,HR 6250,28931,2986685
003041102,HR 6656,31747,2986723
003041103,HR 6021,28419,2986761
003041104,HR 6036,30211,2986799
003041107,HR 6203,29955,2986837
003041108,HR 6100,29187,2986875
003041109,HR 7063,31747,2986913
003041110,HR 6063,29443,2986951
003041115,HR 6201,29187,2989093
003041120,HR 7068,31235,2989131
003050101,HR 6321,28675,2989169
003050102,HR 6320,28675,2989207
003050103,HR 6323,29699,2989245
003050104,HR 6324,30211,2989283
003050105,HR 6322,29955,2989321
003050106,HR 6310,29443,2989359
003050107,HR 6312,30211,2989397
003050109,HR 6311,30467,2989435
003060001,HR 6062,29187,2989473
003060002,HR 6009,29699,2989511
003060003,HR 6003,28419,2989549
003060004,HR 6089,32259,2989587
003060005,HR 6149,31747,2989625
003060006,HR 6060,29955,2989663
003060007,HR 6032,29955,2989701
003060101,HR 6005,28675,2989739
003060102,HR 6057,30723,2989777
003060103,HR 6157,31235,2989815
003060104,HR 6113,29443,2989853
003060105,HR 6284,32003,2989891
003060106,HR 6182,31491,2989929
003060107,HR 6160,30723,2989967
003060108,HR 6160,30979,2990005
003060109,HR 6150,30979,2990043
003061002,HR 6009,29955,2992158
003071001,HR 7545,31491,2992196
003071002,HR 7535,31491,2992234
003071003,HR 7522,30723,2992272
003071004,HR 7505,31235,2992310
003071005,HR 7522,31235,2992348
003071006,HR 8352,32003,2992386
003071007,HR 7345,32515,2992424
003071008,HR 7537,33539,2992462
003071009,HR 7589,35587,2992500
003071010,HR 7566,32259,2992538
003071011,HR 7709,32259,2992576
003071012,HR 8033,30211,2992614
003071014,HR 8079,33283,2992652
003071016,HR 80220,43011,2992690
003071017,HR 8953,34307,2992729
003071019,HR 7578,35331,2992767
003071020,HR 7503,30211,2992805
003071021,HR 7871,32515,2992843
003071022,HR 80273,44291,2992881
003071023,HR 7527,32515,2992920
003071024,HR 7583,33283,2992958
003071026,HR 7533,52227,2992996
003071027,HR 7537,33795,2993035
003071028,HR 7254,33027,2993073
003071029,HR 7506,52995,2993111
003071030,HR 7577,7168,2994203
003071032,HR 7594,33539,2994241
003071033,HR 7471,32259,2994279
003071036,HR 7583,34051,2994317
003071037,HR 7577,35075,2994355
003071040,HR 7559,33539,2994393
003071041,HR 7531,31235,2994431
003071042,HR 7591,33027,2994469
003071043,HR 8041,30979,2994507
003071044,HR 8035,32003,2994545
003071045,HR 8226,32771,2994583
003071046,HR 7384,34051,2994621
003071049,HR 7574,35075,2994659
003071050,HR 7589,34563,2994697
003071051,HR 7877,34819,2994735
003071052,HR 7877,35075,2994773
003071053,HR 7291,32771,2994811
003071054,HR 8122,31491,2994849
003071056,HR 8600,32259,2994887
003071057,HR 7511,32515,2994925
003071058,HR 7919,35843,2994963
003071059,HR 8122,32771,2995001
003071060,HR 7595,34051,2995039
003071061,HR 7291,32515,2995077
003071062,HR 7520,31491,2995115
003071063,HR 8030,30979,2995153
003071066,HR 8041,32259,2997306
003071067,HR 7574,35075,2997344
003071068,HR 8122,32771,2997382
003071069,HR 8597,37123,2997420
003071071,HR 7292,33027,2997458
003071072,HR 7505,32515,2997496
003071073,HR 7292,33539,2997534
003071074,HR 7839,35587,2997572
003071075,HR 6573,34307,2997610
003071076,HR 7519,34819,2997648
003071077,HR 8057,34563,2997686
003071078,HR 8030,32515,2997724
003071079,HR 7541,34307,2997762
003071080,HR 7535,33027,2997800
003071082,HR 8008,32515,2997838
003071083,HR 8051,32259,2997876
003071084,HR 8030,31747,2997914
003071087,HR 8030,32515,2997952
003071088,HR 8030,32771,2997990
003071089,HR 8954,36867,2998028
003071090,HR 8881,34563,2998066
003071091,HR 8484,34563,2998104
003071092,HR 7239,34051,2998142
003071093,HR 8880,35075,2998180
003071094,HR 8880,35331,2998218
003071096,HR 8484,35843,3000371
003071097,HR 7261,34051,3000409
003071098,HR 80272,47363,3000447
003071099,HR 7535,35587,3000486
003072001,HR 7522,30467,3000524
003072002,HR 8417,31747,3000562
003072003,HR 7451,31235,3000600
003072004,HR 7577,33795,3000638
003072005,HR 7950,32771,3000676
003072006,HR 8118,32259,3000714
003072007,HR 7950,33283,3000752
003072010,HR 7452,30979,3000790
003072011,HR 8096,32515,3000828
003072012,HR 7418,32003,3000866
003072013,HR 8768,34563,3000904
003072014,HR 8768,34819,3000942
003072015,HR 7774,34051,3000980
003072017,HR 8605,33027,3001018
003072018,HR 7604,32771,3001056
003072019,HR 7789,36611,3001094
003072022,HR 7478,33795,3001132
003072024,HR 7452,32259,3001170
003072026,HR 7600,31491,3001208
003072028,HR 7488,35587,3001246
003072030,HR 7453,31747,3001284
003072032,HR 7601,30979,3002405
003072033,HR 7671,33027,3002443
003072043,HR 8169,34051,3002481
003072044,HR 7608,33539,3002519
003072048,HR 80061,45315,3002557
003072050,HR 7452,32003,3002596
003072051,HR 80062,44035,3002634
003072052,HR 80062,44291,3002673
003072055,HR 8342,33027,3002712
003072056,HR 8625,34307,3002750
003072057,HR 8314,33283,3002788
003080005,HR 5705,31491,3002826
003081001,HR 7451,30723,3002864
003081002,HR 6057,31235,3002902
003081006,HR 7452,32259,3002940
003081008,HR 7452,32771,3002978
003081009,HR 8349,34563,3003016
003081010,HR 7455,31747,3003054
003081011,HR 7457,32515,3003092
003081013,HR 8350,31235,3003130
003081014,HR 7433,31747,3003168
003081015,HR 7782,33795,3003206
003081018,HR 7604,32771,3003244
003081019,HR 7789,36611,3003282
003081020,HR 7418,31747,3003320
003081021,HR 7478,33539,3003358
003081022,HR 7478,33795,3005477
003081023,HR 7656,33539,3005515
003081024,HR 7452,32259,3005553
003081025,HR 7650,32515,3005591
003081026,HR 7600,31491,3005629
003081027,HR 7613,32771,3005667
003081028,HR 7488,35587,3005705
003081030,HR 7453,31747,3005743
003081031,HR 7453,32003,3005781
003081032,HR 7601,30979,3005819
003081033,HR 7671,33027,3005857
003081034,HR 7813,32771,3005895
003081042,HR 7774,34051,3005933
003081043,HR 8169,34051,3005971
003081044,HR 7608,33539,3006009
003081045,HR 7687,35587,3006047
003081046,HR 7608,34051,3006085
003090101,HR 42019,62723,3006123
0031,HR 3504,31234,3006163
003101101,HR 7239,49923,3006196
003101102,HR 7647,50947,3006235
003101106,HR 46266,64259,3006274
003101110,HR 7798,52483,3006314
003101113,HR 46145,62723,3006353
003101115,HR 46116,62723,3006393
003101119,HR 7294,32771,3006433
003121101,HR 7698,52739,3008549
003121102,HR 7848,52227,3008588
003130001,HR 5705,29443,3008627
003130002,HR 5711,28931,3008665
003130003,HR 5707,30467,3008703
003130004,HR 5719,31491,3008741
003130005,HR 5705,30467,3008779
003131111,HR 8962,32259,3008817
003140075,HR 7973,34819,3008855
003140076,HR 8187,34563,3008893
003141003,HR 7484,32003,3008931
003141004,HR 7666,32771,3008969
003141005,HR 7483,32259,3009007
003141006,HR 7439,32771,3009045
003141007,HR 7459,33539,3009083
003141008,HR 8190,32003,3009121
003141010,HR 7777,32771,3009159
003141011,HR 80215,42243,3009197
003141012,HR 7432,30211,3009236
003141013,HR 7644,31747,3009274
003141014,HR 8351,30979,3009312
003141015,HR 7437,32259,3009350
003141016,HR 7483,32771,3009388
003141017,HR 7434,32003,3009426
003141018,HR 7473,33027,3009464
003141019,HR 8087,33795,3009502
003141021,HR 7669,33283,3012645
003141022,HR 7796,33795,3012683
003141023,HR 7434,31235,3012721
003141024,HR 7888,34819,3012759
003141025,HR 7890,33283,3012797
003141026,HR 7887,35075,3012835
003141027,HR 7918,34051,3012873
003141028,HR 7685,34563,3012911
003141030,HR 7666,32515,3012949
003141031,HR 7484,32259,3012987
003141032,HR 7971,32771,3013025
003141033,HR 7889,35075,3013063
003141034,HR 7971,33283,3013101
003141036,HR 8597,35075,3013139
003141037,HR 7971,34051,3013177
003141038,HR 8397,35075,3013215
003141039,HR 7808,34307,3013253
003141040,HR 7470,30979,3013291
003141041,HR 7768,33795,3013329
003141042,HR 7694,33539,3013367
003141043,HR 7800,30979,3013405
003141044,HR 7612,31491,3013443
003141045,HR 8103,30723,3013481
003141046,HR 7470,32515,3013519
003141047,HR 8760,33539,3013557
003141049,HR 8397,35587,3013595
003141050,HR 7729,33027,3016734
003141051,HR 8466,33027,3016772
003141052,HR 8113,30467,3016810
003141053,HR 8112,30467,3016848
003141054,HR 6543,32259,3016886
003141055,HR 8112,30979,3016924
003141056,HR 7711,32259,3016962
003141057,HR 8101,30979,3017000
003141059,HR 7207,33027,3017038
003141060,HR 8099,33539,3017076
003141061,HR 7892,33795,3017114
003141062,HR 7686,54019,3017152
003141063,HR 8600,31235,3017191
003141064,HR 8124,31747,3017229
003141065,HR 7730,32515,3017267
003141067,HR 7484,34563,3017305
003141068,HR 7906,34563,3017343
003141069,HR 7896,36867,3017381
003141070,HR 7762,32771,3017419
003141071,HR 7432,31491,3017457
003141072,HR 7918,34051,3017495
003141073,HR 8318,33027,3017533
003141074,HR 7793,34819,3017571
003150001,HR 6018,29443,3017609
003150101,HR 6097,31491,3017647
003150102,HR 6178,31747,3017685
003160001,HR 6506,30211,3018814
003160002,HR 6505,30211,3018852
003160003,HR 6512,29955,3018890
003160004,HR 6501,29699,3018928
003160005,HR 6511,30211,3018966
003160006,HR 6509,32259,3019004
003160007,HR 6510,30467,3019042
003160101,HR 6501,29187,3019080
003160102,HR 6500,29187,3019118
003160103,HR 6502,29955,3019156
003160104,HR 6503,30467,3019194
003160105,HR 6504,30979,3019232
003160106,HR 6574,33027,3019270
003160107,HR 6513,31491,3019308
003160108,HR 6519,33283,3019346
003160109,HR 6687,35075,3019384
003160110,HR 6683,32003,3019422
003160111,HR 6683,32259,3019460
003160112,HR 6517,31491,3019498
003160113,HR 6522,30723,3019536
003160114,HR 6514,31235,3019574
003160115,HR 6515,31747,3019612
003160116,HR 6521,31235,3019650
003161101,HR 6518,31491,3019688
003161102,HR 6516,31235,3019726
003162202,HR 6573,32515,3021879
003162203,HR 6572,32515,3021917
003162204,HR 6686,34307,3021955
003162205,HR 6673,33539,3021993
003162206,HR 6604,32259,3022031
003162207,HR 6596,35075,3022069
003162208,HR 6586,35075,3022107
003162209,HR 6419,34051,3022145
003162210,HR 6580,31747,3022183
0031692,HR 6170,7427,3022221
003169200,HR 6170,32003,3022257
003171054,HR 8122,31747,3022295
003171102,HR 46045,63747,3022333
003171103,HR 46056,64515,3022373
003180101,HR 42078,64003,3022413
003181001,HR 7751,31747,3022453
003181104,HR 7495,53763,3022491
003191001,HR 7716,32259,3022530
003191002,HR 7719,33283,3022568
0032,HR 1123,30210,3022606
003201001,HR 7605,29443,3022639
003201002,HR 7618,30723,3022677
003201004,HR 7477,32003,3022715
003201005,HR 7443,30467,3022753
003201006,HR 7491,31491,3022791
003201007,HR 7929,33283,3023909
003201008,HR 7728,32771,3023947
003201009,HR 7840,31747,3023985
003201010,HR 7728,30979,3024023
