oem,hr,fk,offset
0-2223-074,HR 7325,43267,899245
0-2223-075,HR 7322,42755,899284
0-2223-076,HR 7323,43267,899323
0-2223-077,HR 7324,43779,899362
0-2223-078,HR 7326,44547,899401
0-2223-081,HR 7327,43267,899440
0-2223-083,HR 7323,42755,899479
0-2223-091,HR 8066,43779,899518
0.001,HR 2460,42242,889362
0.002,HR 2169,44034,889396
0.003,HR 5163,43522,889430
0.004,HR 2450,42754,889464
0.005,HR 2461,43522,889498
0.007,HR 1621,43266,889532
0.009,HR 2053,43778,889566
0.01,HR 6024,29954,889600
0.010,HR 1177,43266,889633
0.0105,HR 6004,55298,889667
0.0107,HR 7097,59138,889702
0.012,HR 2440,42242,889737
0.013,HR 2080/15,15107,889771
0.014,HR 1153,42754,889808
0.016,HR 3509,45058,890929
0.017,HR 2151,43266,890963
0.018,HR 2080/10,15107,890997
0.019,HR 2041,43266,891034
0.020,HR 2114,41474,891068
0.022,HR 1120,40962,891102
0.023,HR 2045,43010,891136
0.024,HR 2121,41986,891170
0.026,HR 2063/00,14851,891204
0.027,HR 3601,43778,891241
0.029,HR 3583,46594,891275
0.031,HR 3504,43010,891309
0.032,HR 1123,41986,891343
0.034,HR 3120,42242,891377
0.036,HR 3507,45058,891411
0.037,HR 3520,44034,891445
0.039,HR 3612,45058,891479
0.040,HR 51/01,53762,891513
0.042,HR 2063/03,15107,891548
0.048,HR 3511,44546,891585
0.052,HR 2141,42754,891619
0.057,HR 2080/20,16131,891653
0.059,HR 5505,46338,891690
0.060,HR 2080/00,14083,891724
0.062,HR 1160,43010,891761
0.063,HR 3578,47106,891795
0.064,HR 5126,45058,891829
0.067,HR 3602,45058,891863
0.071,HR 2161,43522,894008
0.073,HR 1165,44802,894042
0.074,HR 2013,43266,894076
0.075,HR 1117,44546,894110
0.076,HR 2031/22,15875,894144
0.077,HR 3505,45826,894181
0.079,HR 3604,46338,894215
0.081,HR 2051,43266,894249
0.082,HR 2082,44546,894283
0.083,HR 1161,44034,894317
0.085,HR 3503,45058,894351
0.087,HR 3690,47362,894385
0.088,HR 1197,47618,894419
0.090,HR 2063/02,15619,894453
0.091,HR 2050,43266,894490
0.093,HR 3501,44290,894524
0.094,HR 3611,45058,894558
0.097,HR 3610,45570,894592
0.101,HR 2011,40450,894626
0.102,HR 2014,41474,894660
0.106,HR 2017,43266,894694
0.109,HR 1100,41986,894728
0.110,HR 2080/06,14595,894762
0.116,HR 3505,44290,894799
0.122,HR 2115,42498,894833
0.125,HR 2143,43522,894867
0.127,HR 5525,45826,894901
0.132,HR 2171,43266,894935
0.134,HR 2110,41986,897080
0.137,HR 2445,45570,897114
0.138,HR 3202,43778,897148
0.139,HR 3682,47106,897182
0.140,HR 2181,43266,897216
0.141,HR 3508,44546,897250
0.144,HR 3519,45826,897284
0.145,HR 3534,45314,897318
0.146,HR 2152,44290,897352
0.148,HR 3530,45058,897386
0.149,HR 3512,45314,897420
0.151,HR 2458,45570,897454
0.155,HR 3515,45314,897488
0.159,HR 2070,45058,897522
0.160,HR 1121,41986,897556
0.162,HR 3502,43778,897590
0.164,HR 2175,45570,897624
0.165,HR 1152,44290,897658
0.166,HR 3658,47874,897692
0.169,HR 1101,43778,897726
0.172,HR 1150,43266,897760
0.173,HR 3613,45058,897794
0.174,HR 1162,44546,897828
0.175,HR 1122,43778,897862
0.183,HR 3518,46338,897896
0.184,HR 6018,46082,897930
0.186,HR 7020,45058,897964
0.192,HR 3516,45826,897998
0.202,HR 3535,44034,899109
0.205,HR 1629,45314,899143
0.216,HR 6310,43778,899177
0.277,HR 3652,47106,899211
00 218,HR 2110,51458,905403
00 619 6,HR 7344,12803,905438
00 D-3-508-001,HR 7453,26884,899557
00 D-3-508-002,HR 7453,27140,899600
00 D-3-508-003,HR 7478,29188,899643
00 D-3-515-001 PL1,HR 7478,23301,899686
00 D-4-198-001,HR 6276,28932,899733
00 D-4-198-003,HR 6071,27652,899776
00 D-4-208-001,HR 6128,25860,899819
00 D-4-208-002,HR 6128,26116,899862
00 D-4-235-002,HR 7082,26116,899905
00 D-4-235-002 01G,HR 7165,12293,899995
00 D-4-235-002 01G1,HR 7165,24837,900042
00 D-4-235-002 HT1,HR 7165,21765,899948
00 D-4-247-001 HT1,HR 7151,20997,903234
00 D-4-260-004 HT1,HR 7453,21765,903281
00 H 07012400,HR 6067,13060,903328
00 H 07012500,HR 7361,12804,903370
00 H 07013100,HR 6032,10500,903412
00 H 07013500,HR 6159,14084,903454
00 H 07013600,HR 6175,13828,903496
00 H 07014500,HR 5805,13572,903538
00 H 07014600,HR 5807,14340,903580
00 H 07015000,HR 5803,12036,903622
00 H 07015600,HR 2064,12548,903664
00 H 07015700,HR 5804,14084,903706
00 H 07015800,HR 5802,13828,903748
00 H 07017200,HR 7713,13572,903790
00 H 07018100,HR 7208,13316,903832
00 H 07018300,HR 7359,15620,903874
00 H 07018900,HR 7228,15876,903916
00 H-0-701-2400,HR 6067,39428,903958
00 H-0-701-3100,HR 6032,36868,904002
00 H-0-701-3500,HR 6159,40452,904046
00 H-0-701-3600,HR 6175,40196,904090
00 H-0-701-5600,HR 2064,38916,904134
00 J 02051900,HRT 209,21508,905275
00 J-2-051-900,HRT 209,35588,905317
00 X-6-714-001,HR 7453,32516,905360
000 003 013,HR 3013,43011,908475
000 003 016,HR 3016,44547,908515
000 003 044,HR 3044,45059,908555
000 003 054,HR 3054,45571,908595
000 003 085,HR 3085,47619,908635
000 003 125,HR 3125,45059,908675
000 697 789,HR 6132,54275,908715
000 697 801,HR 6115,50691,908755
000 TX 3125,HR 3125,64515,908435
0000.0100,HR 6024,25859,908795
0000.0101,HR 6035,26627,908833
0000.0103,HR 6036,27395,908871
0000.0105,HR 6004,26627,908909
0000.0106,HR 6020,26371,908947
0000.0107,HR 7097,30467,908985
0000.0108,HR 7006,28163,909023
0000.0109,HR 6195,30467,909061
0000.0123,HR 6024,27139,909099
00002971000,HR 6657,58627,909137
0000872,HR 7442,7171,909177
001 150 09,HRT 227 BP,23300,909213
001 280 7,HR 6468,25603,909255
001 899 4,HR 7398,29699,911397
001-214001-04,HR 7457,14340,911435
001-214002-05,HR 7457,14852,911477
001-214190-10,HR 8605,14852,911519
001-214192-10,HR 8517,15876,911561
001-214211-10,HR 8538,14596,911603
001-220002-04,HR 7900,12036,911645
001-220004-03,HR 7900,12292,911687
001-220027-07,HR 7438,16132,911729
001-330003-94,HR 7503,14852,911771
0010087,HR 7839,9475,911813
00162331,HR 9828,21763,911849
0018994,HR 7398,13315,911886
002 241 8,HR 7452,23811,911922
002 651 0146,HR 6396,64259,911960
002 651 0185,HR 7050,61955,912001
002 651 0264,HR 6376,64003,912042
002 651 0314,HR 6610,60675,912083
002 651 0325,HR 6377,63747,912124
002 651 0337,HR 8050,61955,912165
002 651 0367,HR 7812,64003,912206
002 651 0389,HR 7847,1540,912247
002 651 0395,HR 7753,65283,912288
002 651 0401,HR 7761,61955,912329
002 651 0449,HR 7846,516,913464
002 651 0456,HR 7760,64259,913505
002 651 0461,HR 7626,63491,913546
002 651 0481,HR 7851,64003,913587
002 651 0484,HR 7759,1028,913628
002 651 0498,HR 7861,772,913669
002 651 0500,HR 7855,62979,913710
002 651 0501,HR 7807,62467,913751
002 651 0523,HR 7748,64515,913792
002 651 0526,HR 7773,64771,913833
002 651 0533,HR 7763,64003,913874
002 651 0571,HR 7675,65027,913915
002 651 0599,HR 7732,516,913956
002 651 0647,HR 8217,64259,913997
002 651 10571,HR 7675,12036,914038
002 775 5,HR 7520,25091,914080
002010210,HR 9663,30723,914118
002010221,HR 9616,30723,914156
002020401,HR 9543,30723,914194
002050101,HR 9543,30723,914232
00218,HR 2110,43266,914270
002190103,HR 9555,33283,914304
002190105,HR 9555,33795,914342
002190111,HR 9566,33539,914380
002190118,HR 9828,35587,917557
002190130,HR 9828,34051,917595
002220101,HR 9104,28675,917633
003 039 5,HR 7353,24579,917671
003 101 102,HR 7647,1796,917709
003 169 2,HR 6170,23811,917750
003006006,HR 6060,29955,917788
003011101,HR 6300,27139,917826
003011102,HR 6302,27907,917864
003011110,HR 6304,28163,917902
003011111,HR 6301,27651,917940
003011112,HR 6301,27907,917978
003011113,HR 6303,28675,918016
003021001,HR 7787,32259,918054
003021002,HR 8078,30979,918092
003021003,HR 6385,30979,918130
003021004,HR 7004,28419,918168
003021005,HR 7140,28931,918206
003021101,HR 7239,30467,918244
003021103,HR 6178,31235,918282
003021106,HR 6310,28931,918320
003021108,HR 7218,31491,918358
003021109,HR 7140,30211,918396
003021111,HR 7263,29955,918434
003021112,HR 7018,29699,918472
003021115,HR 7386,32515,921649
003031001,HR 7065,29699,921687
003031002,HR 7032,28419,921725
003031003,HR 7126,29699,921763
003031004,HR 7127,30211,921801
003031005,HR 7242,29955,921839
003031006,HR 7217,30723,921877
003031008,HR 7094,32003,921915
003031009,HR 7105,30467,921953
003031010,HR 8080,29187,921991
003031011,HR 7175,30467,922029
003031012,HR 7135,29699,922067
003031013,HR 7112,28675,922105
003031101,HR 7026,29187,922143
003031102,HR 7047,30211,922181
003031103,HR 7668,32771,922219
003031104,HR 8185,31747,922257
003031105,HR 7040,29187,922295
003031106,HR 7127,30979,922333
003031107,HR 7128,31491,922371
003031108,HR 7145,31491,922409
003031109,HR 7500,30467,922447
003031110,HR 7203,28419,922485
003031111,HR 7114,28931,922523
003031112,HR 7113,28931,922561
003031120,HR 7196,31491,923685
003040001,HR 6009,28931,923723
003040102,HR 6170,29187,923761
003040104,HR 6120,28419,923799
003040106,HR 6067,31491,923837
003041001,HR 6465,30723,923875
003041002,HR 6119,29955,923913
003041003,HR 6200,27907,923951
003041004,HR 6169,31747,923989
003041005,HR 6043,29699,924027
003041101,HR 6250,28931,924065
003041102,HR 6656,31747,924103
003041103,HR 6021,28419,924141
003041104,HR 6036,30211,924179
003041107,HR 6203,29955,924217
003041108,HR 6100,29187,924255
003041109,HR 7063,31747,924293
003041110,HR 6063,29443,924331
003041120,HR 7068,31235,924369
003050101,HR 6321,28675,924407
003050102,HR 6320,28675,924445
003050103,HR 6323,29699,924483
003050104,HR 6324,30211,924521
003050105,HR 6322,29955,924559
003050106,HR 6310,29443,924597
003050107,HR 6312,30211,924635
003060001,HR 6062,29187,926750
003060002,HR 6009,29699,926788
003060003,HR 6003,28419,926826
003060004,HR 6089,32259,926864
003060005,HR 6149,31747,926902
003060006,HR 6060,29955,926940
003060007,HR 6032,29955,926978
003060101,HR 6005,28675,927016
003060102,HR 6057,30723,927054
003060103,HR 6157,31235,927092
003060104,HR 6113,29443,927130
003060105,HR 6284,32003,927168
003060106,HR 6182,31491,927206
003060108,HR 6160,30979,927244
003060109,HR 6150,30979,927282
003061002,HR 6009,29955,927320
003071001,HR 7545,31491,927358
003071002,HR 7522,30467,927396
003071003,HR 7522,30723,927434
003071004,HR 7505,31235,927472
003071005,HR 7522,31235,927510
003071006,HR 8352,32003,927548
003071007,HR 7522,31747,927586
003071008,HR 7537,33539,927624
003071009,HR 7589,35587,927662
003071010,HR 7566,32259,927700
003071019,HR 7578,35331,929853
003071020,HR 7503,30211,929891
003071021,HR 7871,32515,929929
003071023,HR 7527,32515,929967
003071024,HR 7583,33283,930005
003071026,HR 7533,52227,930043
003071027,HR 7537,33795,930082
003071028,HR 7254,33027,930120
003071029,HR 7506,52995,930158
003071030,HR 7577,33283,930197
003071032,HR 7594,33539,930235
003071033,HR 7471,32259,930273
003071036,HR 7583,34051,930311
003071040,HR 7559,33539,930349
003071041,HR 7531,31235,930387
003071042,HR 7591,33027,930425
003071043,HR 8041,30979,930463
003071044,HR 8035,32003,930501
003071045,HR 8226,32771,930539
003071046,HR 7384,34051,930577
003071049,HR 7574,35075,930615
003071050,HR 7589,34563,930653
003071051,HR 7877,34819,930691
003071052,HR 7877,35075,930729
003071053,HR 7291,32771,930767
003071056,HR 8600,32259,932920
003071057,HR 7511,32515,932958
003071058,HR 7919,35843,932996
003071059,HR 8122,32771,933034
003071066,HR 8041,32259,933072
003071068,HR 8122,32771,933110
003071069,HR 8597,37123,933148
003071075,HR 6573,34307,933186
003071076,HR 8122,32515,933224
003071078,HR 8030,32515,933262
003071082,HR 8008,32515,933300
003071083,HR 8051,32259,933338
003071084,HR 8030,31747,933376
003072001,HR 7522,30467,933414
003080005,HR 5705,31491,933452
003081001,HR 7451,30723,933490
003081002,HR 6057,31235,933528
003081006,HR 7452,32259,933566
003081009,HR 8349,34563,933604
003081010,HR 7455,31747,933642
003081011,HR 7457,32515,933680
003081013,HR 8350,31235,933718
003081014,HR 7433,31747,933756
003081015,HR 7782,33795,933794
003081018,HR 7604,32771,933832
003081028,HR 7488,35587,935985
003081032,HR 7601,30979,936023
003081033,HR 7671,33027,936061
003081044,HR 7608,33539,936099
003081046,HR 7608,34051,936137
003090101,HR 42019,62723,936175
003101102,HR 7647,50947,936215
003101113,HR 46145,62723,936254
003130001,HR 5705,29443,936294
003130002,HR 5711,28931,936332
003130003,HR 5707,30467,936370
003130004,HR 5719,31491,936408
003130005,HR 5705,30467,936446
003141003,HR 7484,32003,936484
003141004,HR 7666,32771,936522
003141005,HR 7483,32259,936560
003141006,HR 7439,32771,936598
003141007,HR 7459,33539,936636
003141008,HR 8190,32003,936674
003141010,HR 7777,32771,936712
003141012,HR 7432,30211,936750
003141013,HR 7644,31747,936788
003141014,HR 8351,30979,936826
003141015,HR 7437,32259,936864
003141016,HR 7483,32771,936902
003141017,HR 7434,32003,939045
003141018,HR 7473,33027,939083
003141019,HR 8087,33795,939121
003141021,HR 7669,33283,939159
003141022,HR 7796,33795,939197
003141023,HR 7434,31235,939235
003141027,HR 7918,34051,939273
003141032,HR 7971,32771,939311
003141034,HR 7971,33283,939349
003141037,HR 7971,34051,939387
003141038,HR 8397,35075,939425
003141042,HR 7694,33539,939463
003141049,HR 8397,35587,939501
003141051,HR 8466,33027,939539
003141063,HR 8600,31235,939577
003141064,HR 8124,31747,939615
003141067,HR 7484,34563,939653
003141068,HR 7906,34563,939691
003141070,HR 7762,32771,939729
003150001,HR 6018,29443,939767
003150101,HR 6097,31491,939805
003151101,HR 6018,29955,939843
003160101,HR 6501,29187,939881
003160102,HR 6500,29187,939919
003160103,HR 6502,29955,939957
003169200,HR 6170,32003,939995
003171102,HR 46045,63747,941086
003171103,HR 46056,64515,941126
003181001,HR 7751,31747,941166
003181104,HR 7495,53763,941204
003191001,HR 7716,32259,941243
003191002,HR 7719,33283,941281
003201001,HR 7605,29443,941319
003201002,HR 7618,30723,941357
003201004,HR 7477,32003,941395
003201005,HR 7443,30467,941433
003201006,HR 7491,31491,941471
003201007,HR 7929,33283,941509
003201008,HR 7728,32771,941547
003201009,HR 7840,31747,941585
003201011,HR 7731,29699,941623
003201012,HR 7728,31491,941661
003201013,HR 7471,30467,941699
003201014,HR 7737,32003,941737
003201016,HR 7630,30467,941775
003201017,HR 8207,30979,941813
003201018,HR 7898,35075,941851
00320106,HR 7630,17923,941889
003211001,HR 7239,30467,941926
003220101,HR 6305,28931,941964
003220102,HR 6307,29699,942002
003220104,HR 6309,30723,942040
003220105,HR 6316,7168,945179
003220107,HR 6319,31747,945217
003220108,HR 6306,30979,945255
003220109,HR 6349,52739,945293
003220110,HR 6328,49923,945332
003251001,HR 7468,32515,945371
003251002,HR 7736,32259,945409
003251003,HR 7456,32259,945447
003251007,HR 7627,33283,945485
003261001,HR 7460,30723,945523
003261002,HR 8357,32515,945561
003261003,HR 7462,31747,945599
003281001,HR 8356,32515,945637
003281002,HR 7679,34563,945675
003281009,HR 8205,32771,945713
003301001,HR 7004,27907,945751
003301002,HR 7026,29187,945789
003301003,HR 7156,30467,945827
003301004,HR 7035,29699,945865
003301005,HR 7041,29187,945903
003301015,HR 7472,31491,945941
003301016,HR 7032,29699,945979
003301019,HR 7668,34307,946017
003301021,HR 7094,30723,946055
003301023,HR 7299,33027,946093
003301024,HR 7787,33795,946131
003310101,HR 7214,28931,947260
003310102,HR 7230,28675,947298
003310103,HR 7253,30211,947336
003310104,HR 7253,30467,947374
003310105,HR 7225,30467,947412
003310106,HR 7353,31235,947450
003310107,HR 8074,31747,947488
003310108,HR 7253,31491,947526
003310109,HR 7230,30467,947564
003310110,HR 7231,28675,947602
003310111,HR 7224,29443,947640
003310112,HR 8066,30979,947678
003310113,HR 7224,29955,947716
003311001,HR 7229,30467,947754
003311002,HR 7228,30467,947792
003311003,HR 7127,30211,947830
003311004,HR 7195,31747,947868
003311005,HR 7269,32515,947906
003311007,HR 7578,33795,947944
003311008,HR 7566,33283,947982
003311101,HR 7128,30211,948020
003311102,HR 7344,30467,948058
003311103,HR 8077,31747,948096
003311104,HR 7140,29443,948134
003311106,HR 7131,29955,948172
003311108,HR 7223,30979,950325
003311110,HR 7218,30211,950363
003311114,HR 7397,33283,950401
003311115,HR 7378,33283,950439
003311116,HR 7378,33539,950477
003311117,HR 8157,32771,950515
003311118,HR 7227,32259,950553
003311119,HR 7218,32515,950591
003311122,HR 7287,32515,950629
003311124,HR 8007,30723,950667
003311125,HR 7351,31235,950705
003311126,HR 8055,32003,950743
003311127,HR 8165,32771,950781
003311128,HR 8376,34051,950819
003311129,HR 7376,34051,950857
003311130,HR 7394,32003,950895
003311134,HR 8006,30723,950933
003311136,HR 7295,33539,950971
003311139,HR 8010,30723,951009
003311151,HR 8010,29187,951047
003311153,HR 8336,32515,951085
003311166,HR 8368,34819,951123
003311182,HR 8604,32515,951161
003320001,HR 6177,30723,951199
003321002,HR 6572,30979,951237
003321003,HR 6573,31491,953381
003321004,HR 6595,32771,953419
003321101,HR 6567,32003,953457
003321102,HR 6593,32003,953495
003321104,HR 6594,32771,953533
003321107,HR 6590,32515,953571
003321111,HR 6609,31491,953609
003321113,HR 6585,32771,953647
003321114,HR 6560,31235,953685
003321116,HR 6620,30979,953723
003321117,HR 6569,34307,953761
003321120,HR 6597,33027,953799
003321127,HR 6450,31747,953837
003321128,HR 6632,32515,953875
003321136,HR 6021,30211,953913
003321137,HR 6036,32003,953951
003321138,HR 6200,30467,953989
003330001,HR 6062,29187,954027
003330002,HR 6009,29699,954065
003330003,HR 6003,28419,954103
003330004,HR 6089,32259,954141
003330005,HR 6149,31747,954179
003330006,HR 6060,29955,954217
003330007,HR 6032,29955,954255
003330008,HR 6045,31235,954293
003330009,HR 6159,33027,954331
003330010,HR 6158,30723,955422
003330011,HR 6145,29955,955460
003330012,HR 6154,30211,955498
003330101,HR 6005,28675,955536
003330102,HR 6057,30723,955574
003330103,HR 6157,31235,955612
003330104,HR 6113,29443,955650
003330105,HR 6284,32003,955688
003330106,HR 6182,31491,955726
003330107,HR 6160,30723,955764
003330108,HR 6160,30979,955802
003330109,HR 6150,30979,955840
003330110,HR 6175,30723,955878
003330111,HR 6144,29955,955916
003330112,HR 6388,52483,955954
003330113,HR 6293,31747,955993
003330115,HR 6179,33027,956031
003330116,HR 6181,31491,956069
003330117,HR 6182,32003,956107
003331001,HR 6174,30467,956145
003331002,HR 6004,28675,956183
003331003,HR 6295,32003,956221
003331004,HR 6224,30211,956259
003331101,HR 6256,30979,956297
003331102,HR 6100,28163,956335
003331103,HR 6119,30979,956373
003331105,HR 6063,30979,958526
003331106,HR 6169,33027,958564
003331107,HR 6257,32771,958602
003331108,HR 6475,33539,958640
003331109,HR 6223,31491,958678
003331110,HR 6278,32003,958716
003331111,HR 6288,32515,958754
003331112,HR 6255,31235,958792
003331113,HR 6134,30467,958830
003331114,HR 6155,31491,958868
003331115,HR 6389,34051,958906
003331116,HR 6252,31491,958944
003331118,HR 6253,32259,958982
003331119,HR 6132,31491,959020
003331120,HR 6294,31747,959058
003331121,HR 6387,32771,959096
003331122,HR 6008,30467,959134
003331123,HR 6254,31491,959172
003331124,HR 6268,33027,959210
003331125,HR 6053,31235,959248
003331126,HR 7128,32515,959286
003341001,HR 6021,28419,959324
003341004,HR 7950,32259,959362
003341005,HR 6200,29187,959400
003341101,HR 6036,30211,959438
003341110,HR 6021,28675,961591
003341112,HR 6450,30723,961629
003341113,HR 6169,32771,961667
003341114,HR 6203,30211,961705
003350001,HR 7302,29187,961743
003350002,HR 7301,29187,961781
003350003,HR 7317,31235,961819
003350004,HR 7305,30723,961857
003350005,HR 7306,31235,961895
003350101,HR 7325,30723,961933
003350102,HR 7309,31491,961971
003350103,HR 7322,30467,962009
003350104,HR 7317,31747,962047
003350105,HR 7308,32003,962085
003350106,HR 7323,31491,962123
003350107,HR 7310,30723,962161
003350108,HR 7315,32259,962199
003361101,HR 7384,32515,962237
003370001,HR 6062,30211,962275
003370102,HR 6260,30723,962313
003370104,HR 6120,29955,962351
003370105,HR 6272,32259,962389
003370106,HR 6067,33027,962427
003370107,HR 6170,32003,962465
003370109,HR 6075,33539,962503
003381002,HR 7566,33539,964645
003381005,HR 7127,32515,964683
003381006,HR 7578,35331,964721
003381102,HR 7296,33795,964759
003390002,HR 6141,30467,964797
003390003,HR 6040,30211,964835
003390004,HR 6133,31235,964873
003390005,HR 6140,30979,964911
003390008,HR 6205,32259,964949
003400001,HR 6412,28419,964987
003400002,HR 6400,27907,965025
003400003,HR 7400,28419,965063
003400004,HR 6409,30723,965101
003400005,HR 6404,29699,965139
003400006,HR 6413,29955,965177
003400007,HR 6403,29955,965215
003410001,HR 7400,28163,965253
003410002,HR 7401,28675,965291
003410004,HR 7403,29699,965329
003411110,HR 6063,29699,965367
003441001,HR 7814,31491,965405
003441003,HR 7950,32259,965443
003441004,HR 7950,32515,965481
003441005,HR 8118,32003,965519
003441006,HR 7815,33027,965557
003441009,HR 8417,33539,965595
003441010,HR 8600,29955,967710
003441011,HR 7774,33027,967748
003441012,HR 7950,32259,967786
003441013,HR 7451,31491,967824
003441015,HR 7971,33795,967862
003441017,HR 8124,32003,967900
003441020,HR 8545,32259,967938
003471102,HR 7833,33027,967976
003491001,HR 8029,32515,968014
003491002,HR 7977,35587,968052
003491004,HR 8188,34819,968090
003491101,HR 8368,34307,968128
003491102,HR 8553,33539,968166
003491107,HR 7839,36355,968204
0036 1846 0004,HR 6261,22788,968242
0036 1916 0001,HR 6262,21764,968285
0036 1969 0001,HR 6263,24068,968328
0036 2003 0006,HR 6541,19972,968371
0036 2003 0007,HR 6542,20484,968414
0036 2123 0002,HR 7702,19716,968457
0036 2135 0001,HR 6480,20740,968500
0036 2135 0002,HR 6481,21252,968543
0036 2140 0001,HR 6493,20740,968586
0036 4085 0003,HR 6474,23556,968629
0036 4087 0001,HR 7282,23044,968672
0036 4088 0001,HR 7347,23812,970789
0036 4093 0002,HR 6472,22532,970832
00362003-0007,HR 6542,15620,970875
00362123-0002,HR 7702,14852,970917
00362135-0001,HR 6480,15876,970959
00362135-0002,HR 6481,16388,971001
00364085-0003,HR 6474,18692,971043
00364087-0001,HR 7282,18180,971085
00364088-0001,HR 7347,18948,971127
00364093-0002,HR 6472,17668,971169
004 595 5,HR 5729,27907,971211
004 721 7,HR 6514,24323,971249
0040 141 600,HR 6260,59395,971287
0040 148 300,HR 7128,61443,971328
0047 328 400,HR 6245,63235,971369
0047 328 700,HR 6239,64771,971410
005 954 3,HR 7571,26627,971451
005848,HR 6250,61442,971489
0059543,HR 7571,10243,971524
006 191 6,HR 7344,25347,971560
006 353 7,HR 6518,26115,971598
0061646,HR 6498,11267,971636
0065277,HR 46131,41219,971672
007 072 5,HR 7834,25859,972837
007 A 02-LT-K,HR 7448,52484,971710
0076758,HR 185,63746,972875
009-00048/0.5,HR 1270 T2 S,20741,973112
009-00205/0.6,HR 1574,15108,973159
009-01137/0.5,HR 1918,16644,973201
009-01140/0.0,HR 1927,13828,973243
009-02002/0.5,HR 1301,11012,973285
009-02003/0.4,HR 1577,14852,973327
009-02005/0.2,HR 1357,13828,973369
009-02054/0.2,HR 1306,13316,973411
009-02057/0.9,HR 13030,27396,973453
009-02059/0.7,HR 1571,16900,973496
009-02533/0.3,HR 1548,16132,973538
009-02534/0.2,HR 1574,15876,973580
009-02535/0.1,HR 1360,14084,973622
009-02536/0.0,HR 1557,16132,973664
009-03077/0.3,HR 1564,16644,973706
009-03077/1.1,HR 1564,16388,973748
009-03078/0.2,HR 1565,16900,973790
009-03096/1.8,HR 1570,17668,976933
009-03104/0.0,HR 1565,13828,976975
009-03104/1.8,HR 1565,16132,977017
009-03108/0.6,HR 1599,18180,977059
009-04118/1.0,HR 19043,27908,977101
009-04118/3.6,HR 19043,29956,977144
009-05013/0.5,HR 1548,15620,977187
009-05017/0.1,HR 1388,16132,977229
009-05018/0.0,HR 1573,15108,977271
009-05024/1.0,HR 1566,15108,977313
009-05027/0.9,HR 1595,18436,977355
009-05028/0.8,HR 1596,18692,977397
009.193682,HR 320,33539,972910
009.193690,HR 2280 T3S,45828,972948
009.193691,HR 2280 T3S,46084,972991
009.620075,HR 6024,45315,973034
009.620084,HR 7538,48131,973073
00D3508001,HR 7453,49667,905475
00D3508002,HR 7453,49923,905514
00D3508003,HR 7478,51971,905553
00D3515001PL1,HR 7478,37892,905592
00D4198001,HR 6276,51715,905634
00D4198003,HR 6071,50435,905673
00D4208001,HR 6128,48643,905712
00D4208002,HR 6128,48899,905751
00D4235002,HR 7082,48899,905790
00D423500201G,HR 7165,26884,905871
00D423500201G1,HR 7165,39428,905913
00D4235002HT1,HR 7165,36356,905829
00D4247001,HR 7151,48643,905956
00D4247001HT1,HR 7151,35588,905995
00D4260004HT1,HR 7453,36356,906037
00H07012400,HR 6067,62211,906079
00H07013100,HR 6032,59651,906119
00H07013500,HR 6159,63235,906159
00H07013600,HR 6175,62979,906199
00H07015600,HR 2064,61727,908316
00H07017200,HR 7713,62723,908356
00J2051900,HRT 209,58371,908396
01 168,HRT 216 A,22531,977515
01 212,HR 2141,51202,977552
01 859,HR 2141,55554,977587
01 AV 059,HR 7368,38915,977439
01 AV 115,HR 8042,34563,977477
01-0018-8,HR 8095,31747,977622
010 317 8,HR 7344,24579,977660
01001254,HR 46171,50947,977698
0100166,HR 6663,7427,977737
0100170,HR 8409,6147,977773
0100402,HR 6662,5379,977809
0100620,HR 8431,4867,977845
0100688,HR 6668,11011,977881
0100767,HR 8031,6915,979006
0100887,HR 8320,7939,979042
0100901,HR 6668,7939,979078
0100911,HR 8620,5635,979114
0100915,HR 8196,8707,979150
0100945,HR 6668,9987,979186
0102305,HR 7871,7171,979222
0102486,HR 7713,8451,979258
0102489,HR 7867,11779,979294
0102615,HR 8360,6659,979330
0103178,HR 7344,8195,979366
01168,HRT 507,55810,979402
013 544 2,HR 8218,24579,979436
013314801,HR 7026,32259,979474
013330351,HR 7047,32515,979512
013330471,HR 6465,34051,979550
015 338 7,HR 5800,25091,979588
0155762,HR 7673,30723,979626
016 747 8,HR 6596,29955,979663
016650401,HR 8623,33795,979701
01800034875,HR 7514,61187,979739
02 110,HRT 208,60418,979817
02 415,HR 2141,52738,979852
02 514,HR 2121,52226,979887
02 AV 114,HR 8054,35331,979779
020 964 3,HR 6574,26627,979922
0202000410,HR 7455,43011,982074
0202000412,HR 7217,42499,982113
02110,HRT 507,52738,982152
022 651 0401,HR 7761,62467,982186
02223076,HR 7323,20227,982227
023 240 1,HR 9566,24579,982264
02392-80015,HR 42052,24324,982302
026 037 2,HR 7471,24835,982344
02603692,HR 46171,54787,982382
027 230 2,HR 7871,24835,982421
027 577 6,HR 7503,27395,982459
0278650,HR 7079,11523,982497
0282050,HR 7085,7939,982533
0282060,HR 7086,8451,982569
02859 132 010,HR 7708,31748,982605
030010055,HR 8107,30723,982648
030160002,HR 7679,33539,982686
030240003,HR 7474,31747,982724
030240055,HR 8107,32003,982762
030240056,HR 7810,32259,982800
032 496 2,HR 7253,25859,982838
03214002,HR 7742,18947,982876
03214021 Q,HR 8140,46339,982913
0327200,HR 2280 T8S,4868,982952
0328263,HR 6078,9987,982992
