code,code_norm,equiv,equiv_norm,src
FCM2015HE,FCM2015HE,FCM14A032,FCM14A032,datapin_b
FCK14A006,FCK14A006,FCM2015HE,FCM2015HE,datapin_b
FCK14A006,FCK14A006,FCM14A032,FCM14A032,datapin_b
JF0501-1206,JF05011206,154-177B,154177B,datapin_b
JF0501-1206,JF05011206,154-064P,154064P,datapin_b
JF0501-1206,JF05011206,FCK-14B047,FCK14B047,datapin_b
JF0501-1206,JF05011206,JF0501-91802,JF050191802,datapin_b
JF0501-1206,JF05011206,154-374A,154374A,datapin_b
JF0501-1206,JF05011206,6174Z-6238L,6174Z6238L,datapin_b
FSA16012M,FSA16012M,DCF-2077D,DCF2077D,datapin_b
FSA16012M,FSA16012M,DCF-2077A,DCF2077A,datapin_b
FSA16012M,FSA16012M,DCF-1577,DCF1577,datapin_b
DCF-1577,DCF1577,DCF-2077D,DCF2077D,datapin_b
DCF-1577,DCF1577,DCF-2077A,DCF2077A,datapin_b
DCF-1577,DCF1577,FSA16012M,FSA16012M,datapin_b
DCF-2077A,DCF2077A,DCF-2077D,DCF2077D,datapin_b
DCF-2077A,DCF2077A,DCF-1577,DCF1577,datapin_b
DCF-2077A,DCF2077A,FSA16012M,FSA16012M,datapin_b
DCF-2077D,DCF2077D,DCF-2077A,DCF2077A,datapin_b
DCF-2077D,DCF2077D,DCF-1577,DCF1577,datapin_b
DCF-2077D,DCF2077D,FSA16012M,FSA16012M,datapin_b
F0141PE-M,F0141PEM,F0194PEN1-SA,F0194PEN1SA,datapin_b
F0141PE-M,F0141PEM,F0193PEN1-SA,F0193PEN1SA,datapin_b
F0141PE-M,F0141PEM,F0147PE-M,F0147PEM,datapin_b
F0141PE-M,F0141PEM,BCS21-2647,BCS212647,datapin_b
F0141PE-M,F0141PEM,F0101KM-SA,F0101KMSA,datapin_b
F0141PE-M,F0141PEM,F0102KM,F0102KM,datapin_b
F0141PE-M,F0141PEM,F02299PE-B,F02299PEB,datapin_b
FCK-14B047,FCK14B047,154-177B,154177B,datapin_b
FCK-14B047,FCK14B047,154-064P,154064P,datapin_b
FCK-14B047,FCK14B047,JF0501-1206,JF05011206,datapin_b
FCK-14B047,FCK14B047,JF0501-91802,JF050191802,datapin_b
FCK-14B047,FCK14B047,154-374A,154374A,datapin_b
FCK-14B047,FCK14B047,6174Z-6238L,6174Z6238L,datapin_b
TFB4122BD,TFB4122BD,TFB4125CH,TFB4125CH,datapin_b
TFB4122BD,TFB4122BD,BSC24-01N40K,BSC2401N40K,datapin_b
TLF4G503F,TLF4G503F,TLF15644F1,TLF15644F1,datapin_b
TLF4G503F,TLF4G503F,TLF4N052,TLF4N052,datapin_b
TLF4N052,TLF4N052,TLF15644F1,TLF15644F1,datapin_b
TLF4N052,TLF4N052,TLF4G503F,TLF4G503F,datapin_b
F02299PE-B,F02299PEB,F0194PEN1-SA,F0194PEN1SA,datapin_b
F02299PE-B,F02299PEB,F0193PEN1-SA,F0193PEN1SA,datapin_b
F02299PE-B,F02299PEB,F0147PE-M,F0147PEM,datapin_b
F02299PE-B,F02299PEB,BCS21-2647,BCS212647,datapin_b
F02299PE-B,F02299PEB,F0101KM-SA,F0101KMSA,datapin_b
F02299PE-B,F02299PEB,F0102KM,F0102KM,datapin_b
F02299PE-B,F02299PEB,F0141PE-M,F0141PEM,datapin_b
F0102KM,F0102KM,F0194PEN1-SA,F0194PEN1SA,datapin_b
F0102KM,F0102KM,F0193PEN1-SA,F0193PEN1SA,datapin_b
F0102KM,F0102KM,F0147PE-M,F0147PEM,datapin_b
F0102KM,F0102KM,BCS21-2647,BCS212647,datapin_b
F0102KM,F0102KM,F0101KM-SA,F0101KMSA,datapin_b
F0102KM,F0102KM,F02299PE-B,F02299PEB,datapin_b
F0102KM,F0102KM,F0141PE-M,F0141PEM,datapin_b
F0101KM-SA,F0101KMSA,F0194PEN1-SA,F0194PEN1SA,datapin_b
F0101KM-SA,F0101KMSA,F0193PEN1-SA,F0193PEN1SA,datapin_b
F0101KM-SA,F0101KMSA,F0147PE-M,F0147PEM,datapin_b
F0101KM-SA,F0101KMSA,BCS21-2647,BCS212647,datapin_b
F0101KM-SA,F0101KMSA,F0102KM,F0102KM,datapin_b
F0101KM-SA,F0101KMSA,F02299PE-B,F02299PEB,datapin_b
F0101KM-SA,F0101KMSA,F0141PE-M,F0141PEM,datapin_b
BSC24-08B,BSC2408B,BSC23-01N16,BSC2301N16,datapin_b
BSC24-08B,BSC2408B,BSC24-01N36,BSC2401N36,datapin_b
BSC24-08B,BSC2408B,BSC24-09G,BSC2409G,datapin_b
BSC24-08B,BSC2408B,BSC25-4803T,BSC254803T,datapin_b
BSC24-08B,BSC2408B,BSC25-N1617,BSC25N1617,datapin_b
BSC24-08B,BSC2408B,BSC25-Z601F,BSC25Z601F,datapin_b
BSC24-08B,BSC2408B,BSC24-01N4019L,BSC2401N4019L,datapin_b
BSC25-Z601F,BSC25Z601F,BSC23-01N16,BSC2301N16,datapin_b
BSC25-Z601F,BSC25Z601F,BSC24-01N36,BSC2401N36,datapin_b
BSC25-Z601F,BSC25Z601F,BSC24-09G,BSC2409G,datapin_b
BSC25-Z601F,BSC25Z601F,BSC25-4803T,BSC254803T,datapin_b
BSC25-Z601F,BSC25Z601F,BSC25-N1617,BSC25N1617,datapin_b
BSC25-Z601F,BSC25Z601F,BSC24-08B,BSC2408B,datapin_b
BSC25-Z601F,BSC25Z601F,BSC24-01N4019L,BSC2401N4019L,datapin_b
BSC25-N1617,BSC25N1617,BSC23-01N16,BSC2301N16,datapin_b
BSC25-N1617,BSC25N1617,BSC24-01N36,BSC2401N36,datapin_b
BSC25-N1617,BSC25N1617,BSC24-09G,BSC2409G,datapin_b
BSC25-N1617,BSC25N1617,BSC25-4803T,BSC254803T,datapin_b
BSC25-N1617,BSC25N1617,BSC25-Z601F,BSC25Z601F,datapin_b
BSC25-N1617,BSC25N1617,BSC24-08B,BSC2408B,datapin_b
BSC25-N1617,BSC25N1617,BSC24-01N4019L,BSC2401N4019L,datapin_b
FSV-14A004C,FSV14A004C,FOK14A001,FOK14A001,datapin_b
FSV-14A004C,FSV14A004C,AA26-002101A,AA26002101A,datapin_b
F0147PE-M,F0147PEM,F0194PEN1-SA,F0194PEN1SA,datapin_b
F0147PE-M,F0147PEM,F0193PEN1-SA,F0193PEN1SA,datapin_b
F0147PE-M,F0147PEM,BCS21-2647,BCS212647,datapin_b
F0147PE-M,F0147PEM,F0101KM-SA,F0101KMSA,datapin_b
F0147PE-M,F0147PEM,F0102KM,F0102KM,datapin_b
F0147PE-M,F0147PEM,F02299PE-B,F02299PEB,datapin_b
F0147PE-M,F0147PEM,F0141PE-M,F0141PEM,datapin_b
FOK14A001,FOK14A001,AA26-002101A,AA26002101A,datapin_b
FOK14A001,FOK14A001,FSV-14A004C,FSV14A004C,datapin_b
154-177B,154177B,154-064P,154064P,datapin_b
154-177B,154177B,FCK-14B047,FCK14B047,datapin_b
154-177B,154177B,JF0501-1206,JF05011206,datapin_b
154-177B,154177B,JF0501-91802,JF050191802,datapin_b
154-177B,154177B,154-374A,154374A,datapin_b
154-177B,154177B,6174Z-6238L,6174Z6238L,datapin_b
TLF15644F1,TLF15644F1,TLF4N052,TLF4N052,datapin_b
TLF15644F1,TLF15644F1,TLF4G503F,TLF4G503F,datapin_b
